model,epoch,train_loss,val_loss,val_acc
Baseline,1,0.47212036838531496,0.32371777386665346,0.8612
Baseline,2,0.2720537038564682,0.24969903423786163,0.8994
Baseline,3,0.21803241629161332,0.22573198257684707,0.9078
BiGRU_Attention,1,0.2438800890546096,0.1765455272078514,0.9302
BiGRU_Attention,2,0.13996795130654385,0.16160278947353363,0.9344
BiGRU_Attention,3,0.09637618007832452,0.17176241406798362,0.9364
Transformer_Encoder,1,0.34807223429177936,0.2535498475790024,0.8976
Transformer_Encoder,2,0.22882234460993817,0.21002785876393318,0.9144
Transformer_Encoder,3,0.19166407073171515,0.1998988177716732,0.9232
