Metric,Value
Training Cross-Entropy Loss,3.4854493141174316
Validation Cross-Entropy Loss,3.4890379905700684
Perplexity,44.96476198702991
Bits-Per-Character (BPC),5.490722926960252
Generalization Gap,-0.0035886764526367188
Top-1 Accuracy,0.2099609375
Distinct-1,0.3034825870646766
Distinct-2,0.955
Distinct-3,1.0
Repeated 4-gram Rate,0.0
Parameter Count,209729.0
Gradient Norm (Stability),1.1186621189117432
Training Throughput (tokens/sec),9705.197677965756
Peak Memory Usage (MB),0.0
Total Training Time (sec),6.783279180526733
