Model,Device,Best_Epoch,Accuracy,Precision_macro,Recall_macro,F1_macro,Precision_micro,Recall_micro,F1_micro,Precision_weighted,Recall_weighted,F1_weighted,CM_TN,CM_FP,CM_FN,CM_TP,ROC_AUC,PR_AUC,MCC,Brier,ECE,Accuracy_CI95_low,Accuracy_CI95_high,F1_macro_CI95_low,F1_macro_CI95_high,MCC_CI95_low,MCC_CI95_high,McNemar_b,McNemar_c,McNemar_stat,McNemar_p,Params,Train_Time_s,Train_Examples_per_s,Inference_Examples_per_s,Peak_Memory_MB
Baseline,Tesla T4,3,0.904,0.9040006446104468,0.904,0.9039999617063559,0.904,0.904,0.904,0.9040006446104468,0.904,0.9039999617063559,17164,1836,1812,17188,0.9680087229916896,0.9692920578449273,0.8080006446101896,0.06931029602621387,0.004081171005964305,0.9010789473684211,0.9066322368421053,0.9010788776286626,0.9066290498219095,0.8021592596368537,0.8132633748033898,,,,,2560258,14.928150177001953,19091.447809727022,35313.86542389209,74.4775390625
BiGRU_Attention,Tesla T4,3,0.934,0.9345243179859133,0.9339999999999999,0.9339800842968973,0.934,0.934,0.934,0.9345243179859133,0.934,0.9339800842968973,17416,1584,924,18076,0.9841947590027701,0.9847917972697495,0.8685241597235769,0.04915612009592512,0.019269029196940016,0.9315526315789474,0.9364736842105263,0.9315241700558912,0.9364480694849582,0.8637072307380714,0.8734117194503651,1093.0,2233.0,390.05441972339145,8.054341200292372e-87,2634883,139.32514929771423,2045.5746965754424,6514.267431816496,111.97705078125
Transformer_Encoder,Tesla T4,3,0.9216315789473685,0.9221440501304858,0.9216315789473684,0.9216077874537429,0.9216315789473685,0.9216315789473685,0.9216315789473685,0.9221440501304858,0.9216315789473685,0.9216077874537429,17842,1158,1820,17180,0.9775928407202217,0.9785848696090109,0.8437754734519219,0.05837078223663276,0.021142721096151767,0.9190789473684211,0.9242118421052632,0.9190663074517909,0.9241985046748837,0.8386693226584916,0.8489469146529932,1067.0,1737.0,159.61519258202568,1.3731713568339766e-36,2989058,193.0309500694275,1476.4471702465019,4344.549142044265,612.80908203125
